NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 37.54   Longitude 126.96
Elevation (meters): Average for one degree lat/lon region = 122   Site = na
Climate zone: 5 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1991 10 28    3.59
1991 10 29    3.87
1991 10 30    3.55
1991 10 31    3.49
1991 11 01    4.28
1991 11 02    2.59
1991 11 03    2.62
1991 11 04    3.84
1991 11 05    3.49
1991 11 06    3.75
1991 11 07    0.81
1991 11 08    3.97
1991 11 09    2.81
1991 11 10    3.57
1991 11 11    3.23
1991 11 12    2.48
1991 11 13    3.56
1991 11 14    3.72
1991 11 15    3.74
1991 11 16    3.04
1991 11 17    3.68
1991 11 18    2.91
1991 11 19    2.65
1991 11 20    3.01
1991 11 21    2.15
1991 11 22    0.96
1991 11 23    2.89
1991 11 24    3.53
1991 11 25    3.22
1991 11 26    3.40
1991 11 27    2.86
1991 11 28    2.69
1991 11 29    2.30
1991 11 30    2.86
1991 12 01    3.29
1991 12 02    1.82
1991 12 03    3.26
1991 12 04    2.42
1991 12 05    2.51
1991 12 06    1.91
1991 12 07    2.05
1991 12 08    1.30
1991 12 09    3.05
1991 12 10    1.18
1991 12 11    2.07
1991 12 12    2.54
1991 12 13    1.88
1991 12 14    1.59
1991 12 15    2.39
1991 12 16    1.38
1991 12 17    0.84
1991 12 18    2.21
1991 12 19    3.04
1991 12 20    3.03
1991 12 21    2.93
1991 12 22    2.55
1991 12 23    1.00
1991 12 24    2.39
1991 12 25    1.41
1991 12 26    1.06
1991 12 27    1.16
1991 12 28    1.91
1991 12 29    3.11
1991 12 30    3.15
1991 12 31    2.50
1992 01 01    1.88
1992 01 02    2.75
1992 01 03    3.17
1992 01 04    3.28
1992 01 05    1.32
1992 01 06    1.04
1992 01 07    2.52
1992 01 08    2.44
1992 01 09    2.52
1992 01 10    3.40
1992 01 11    2.95
1992 01 12    2.73
1992 01 13    2.42
1992 01 14    3.28
1992 01 15    3.34
1992 01 16    1.96
1992 01 17    2.99
1992 01 18    3.62
1992 01 19    3.60
1992 01 20    3.59
1992 01 21    2.61
1992 01 22    3.78
1992 01 23    3.39
1992 01 24    3.27
1992 01 25    3.75
1992 01 26    3.79
1992 01 27    3.87
1992 01 28    2.04
1992 01 29    2.08
1992 01 30    3.22
1992 01 31    3.44
1992 02 01    4.05
1992 02 02    1.49
1992 02 03    2.02
1992 02 04    4.19
1992 02 05    4.25
1992 02 06    2.46
1992 02 07    4.11
1992 02 08    4.38
1992 02 09    4.13
1992 02 10    4.32
1992 02 11    4.18
1992 02 12    3.03
1992 02 13    4.52
1992 02 14    3.90
1992 02 15    4.18
1992 02 16    4.62
1992 02 17    3.51
1992 02 18    3.92
1992 02 19    4.86
1992 02 20    4.79
1992 02 21    4.49
1992 02 22    4.17
1992 02 23    3.94
1992 02 24    4.48
1992 02 25    5.22
1992 02 26    4.72
1992 02 27    3.34
1992 02 28    2.61
1992 02 29    1.31
1992 03 01    4.16
1992 03 02    3.79
1992 03 03    4.81
1992 03 04    3.22
1992 03 05    1.61
1992 03 06    4.54
1992 03 07    4.56
1992 03 08    4.57
1992 03 09    4.30
1992 03 10    5.12
1992 03 11    4.13
1992 03 12    4.60
1992 03 13    4.60
1992 03 14    2.57
1992 03 15    3.95
1992 03 16    3.38
1992 03 17    1.95
1992 03 18    4.03
1992 03 19    5.36
1992 03 20    3.16
1992 03 21    5.37
1992 03 22    5.22
1992 03 23    1.92
1992 03 24    1.99
1992 03 25    5.08
1992 03 26    6.45
1992 03 27    6.40
