NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude -2.2   Longitude -65.7
Elevation (meters): Average for one degree lat/lon region = 55   Site = na
Climate zone: 1 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1991 08 07    4.43
1991 08 08    5.23
1991 08 09    5.95
1991 08 10    5.63
1991 08 11    6.46
1991 08 12    5.94
1991 08 13    2.60
1991 08 14    4.55
1991 08 15    5.27
1991 08 16    3.28
1991 08 17    4.81
1991 08 18    5.87
1991 08 19    3.73
1991 08 20    2.96
1991 08 21    5.69
1991 08 22    4.58
1991 08 23    5.48
1991 08 24    1.62
1991 08 25    4.78
1991 08 26    5.76
1991 08 27    4.57
1991 08 28    5.71
1991 08 29    4.92
1991 08 30    4.85
1991 08 31    4.29
1991 09 01    3.51
1991 09 02    4.89
1991 09 03    5.25
1991 09 04    5.28
1991 09 05    4.89
1991 09 06    4.74
1991 09 07    5.25
1991 09 08    4.20
1991 09 09    3.54
1991 09 10    4.53
1991 09 11    5.13
1991 09 12    3.28
1991 09 13    5.54
1991 09 14    5.40
1991 09 15    6.49
1991 09 16    4.92
1991 09 17    6.28
1991 09 18    6.41
1991 09 19    6.32
1991 09 20    4.39
1991 09 21    5.91
1991 09 22    5.82
1991 09 23    4.09
1991 09 24    6.19
1991 09 25    4.34
1991 09 26    4.51
1991 09 27    6.55
1991 09 28    3.50
1991 09 29    6.90
1991 09 30    6.42
1991 10 01    7.22
1991 10 02    6.99
1991 10 03    7.18
1991 10 04    6.72
1991 10 05    6.75
1991 10 06    6.72
1991 10 07    6.64
1991 10 08    4.28
1991 10 09    1.82
1991 10 10    5.90
1991 10 11    5.73
1991 10 12    6.04
1991 10 13    6.81
1991 10 14    6.13
1991 10 15    6.25
1991 10 16    6.81
1991 10 17    6.95
1991 10 18    3.04
1991 10 19    2.93
1991 10 20    4.66
1991 10 21    6.29
1991 10 22    4.78
1991 10 23    6.88
1991 10 24    6.73
1991 10 25    1.99
1991 10 26    4.57
1991 10 27    3.47
1991 10 28    4.34
1991 10 29    4.68
1991 10 30    4.80
1991 10 31    4.65
1991 11 01    6.51
1991 11 02    5.78
1991 11 03    4.71
1991 11 04    5.62
1991 11 05    7.02
1991 11 06    4.80
1991 11 07    6.57
1991 11 08    3.60
1991 11 09    5.75
1991 11 10    6.13
1991 11 11    6.17
1991 11 12    6.12
1991 11 13    5.99
1991 11 14    2.13
1991 11 15    4.52
1991 11 16    5.51
1991 11 17    3.57
1991 11 18    6.74
1991 11 19    5.03
1991 11 20    2.11
1991 11 21    4.67
1991 11 22    6.12
1991 11 23    5.92
1991 11 24    5.80
1991 11 25    6.19
1991 11 26    7.33
1991 11 27    5.61
1991 11 28    5.83
1991 11 29    6.23
1991 11 30    6.37
1991 12 01    4.97
1991 12 02    1.79
1991 12 03    4.91
1991 12 04    5.82
1991 12 05    5.16
1991 12 06    5.00
1991 12 07    6.14
1991 12 08    5.99
1991 12 09    4.99
1991 12 10    4.51
1991 12 11    3.53
1991 12 12    5.83
1991 12 13    4.29
1991 12 14    4.81
1991 12 15    0.45
1991 12 16    5.37
1991 12 17    5.89
1991 12 18    5.89
1991 12 19    1.31
1991 12 20    6.72
1991 12 21    4.98
1991 12 22    2.69
1991 12 23    4.05
1991 12 24    4.46
1991 12 25    1.35
1991 12 26    4.73
1991 12 27    4.78
1991 12 28    6.15
1991 12 29    5.33
1991 12 30    4.87
1991 12 31    6.18
1992 01 01    4.36
1992 01 02    4.78
1992 01 03    5.16
1992 01 04    4.81
1992 01 05    4.83
1992 01 06    3.84
1992 01 07    4.18
1992 01 08    4.72
1992 01 09    5.07
1992 01 10    3.05
1992 01 11    5.11
1992 01 12    3.91
1992 01 13    5.27
1992 01 14    5.68
1992 01 15    5.50
1992 01 16    7.06
1992 01 17    3.26
1992 01 18    3.68
1992 01 19    5.71
1992 01 20    3.40
1992 01 21    3.80
1992 01 22    4.43
1992 01 23    4.55
1992 01 24    5.40
1992 01 25    4.85
1992 01 26    6.16
1992 01 27    6.07
1992 01 28    5.48
1992 01 29    4.34
1992 01 30    2.05
1992 01 31    6.10
1992 02 01    6.83
1992 02 02    6.18
1992 02 03    4.99
1992 02 04    5.47
1992 02 05    3.88
1992 02 06    2.03
1992 02 07    4.47
1992 02 08    4.66
