NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 62.4   Longitude -77.9
Elevation (meters): Average for one degree lat/lon region = 63   Site = na
Climate zone: 8 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1991 03 08    1.28
1991 03 09    0.67
1991 03 10    1.75
1991 03 11    1.25
1991 03 12    1.03
1991 03 13    0.67
1991 03 14    0.50
1991 03 15    2.08
1991 03 16    2.34
1991 03 17    1.40
1991 03 18    1.02
1991 03 19    0.64
1991 03 20    2.22
1991 03 21    1.85
1991 03 22    1.09
1991 03 23    2.94
1991 03 24    2.09
1991 03 25    1.42
1991 03 26    1.48
1991 03 27    1.81
1991 03 28    2.86
1991 03 29    1.54
1991 03 30    1.44
1991 03 31    1.48
1991 04 01    2.93
1991 04 02    3.30
1991 04 03    2.01
1991 04 04    3.27
1991 04 05    3.30
1991 04 06    2.93
1991 04 07    3.98
1991 04 08    4.11
1991 04 09    3.56
1991 04 10    4.09
1991 04 11    3.74
1991 04 12    4.75
1991 04 13    0.79
1991 04 14    4.44
1991 04 15    4.00
1991 04 16    2.12
1991 04 17    2.47
1991 04 18    2.29
1991 04 19    3.10
1991 04 20    3.91
1991 04 21    2.70
1991 04 22    4.38
1991 04 23    3.51
1991 04 24    2.07
1991 04 25    2.73
1991 04 26    3.30
1991 04 27    2.26
1991 04 28    1.87
1991 04 29    5.12
1991 04 30    4.48
1991 05 01    4.04
1991 05 02    3.76
1991 05 03    5.68
1991 05 04    6.18
1991 05 05    3.22
1991 05 06    5.57
1991 05 07    6.57
1991 05 08    4.60
1991 05 09    4.66
1991 05 10    4.55
1991 05 11    4.35
1991 05 12    3.48
1991 05 13    6.84
1991 05 14    3.65
1991 05 15    2.50
1991 05 16    3.33
1991 05 17    4.13
1991 05 18    5.93
1991 05 19    3.96
1991 05 20    3.48
1991 05 21    5.69
1991 05 22    3.72
1991 05 23    5.25
1991 05 24    4.92
1991 05 25    2.72
1991 05 26    2.40
1991 05 27    3.62
1991 05 28    6.66
1991 05 29    6.04
1991 05 30    5.83
1991 05 31    5.56
1991 06 01    3.03
1991 06 02    5.45
1991 06 03    5.14
1991 06 04    4.94
1991 06 05    2.49
1991 06 06    1.41
1991 06 07    3.82
1991 06 08    3.33
1991 06 09    3.79
1991 06 10    6.25
1991 06 11    5.79
1991 06 12    6.52
1991 06 13    5.78
1991 06 14    7.62
1991 06 15    7.27
1991 06 16    6.54
1991 06 17    6.71
1991 06 18    6.54
1991 06 19    6.16
1991 06 20    6.57
1991 06 21    7.08
1991 06 22    3.52
1991 06 23    5.37
1991 06 24    2.39
1991 06 25    6.66
1991 06 26    5.96
1991 06 27    5.66
1991 06 28    5.95
1991 06 29    5.04
1991 06 30    6.67
1991 07 01    4.63
1991 07 02    4.64
1991 07 03    5.91
1991 07 04    6.18
1991 07 05    6.38
1991 07 06    4.04
1991 07 07    6.95
1991 07 08    8.19
1991 07 09    7.47
1991 07 10    6.76
1991 07 11    7.08
1991 07 12    7.48
1991 07 13    7.59
1991 07 14    5.11
1991 07 15    4.61
1991 07 16    1.17
1991 07 17    5.30
1991 07 18    5.92
1991 07 19    2.96
1991 07 20    1.98
1991 07 21    1.87
1991 07 22    2.55
1991 07 23    6.14
1991 07 24    7.09
1991 07 25    7.50
1991 07 26    4.71
1991 07 27    5.22
1991 07 28    4.24
1991 07 29    6.03
1991 07 30    3.91
1991 07 31    3.52
1991 08 01    6.28
1991 08 02    6.85
1991 08 03    7.00
1991 08 04    7.40
1991 08 05    6.51
1991 08 06    5.64
1991 08 07    6.35
1991 08 08    5.13
1991 08 09    6.74
1991 08 10    3.07
1991 08 11    2.62
1991 08 12    2.78
1991 08 13    4.91
1991 08 14    5.09
1991 08 15    3.04
1991 08 16    4.18
1991 08 17    5.04
1991 08 18    5.98
1991 08 19    0.82
1991 08 20    3.79
1991 08 21    3.83
1991 08 22    5.40
1991 08 23    2.29
1991 08 24    3.09
1991 08 25    2.74
1991 08 26    3.62
1991 08 27    1.32
1991 08 28    1.60
1991 08 29    2.87
1991 08 30    3.22
1991 08 31    4.15
1991 09 01    1.41
1991 09 02    2.50
1991 09 03    2.06
1991 09 04    2.36
1991 09 05    2.86
1991 09 06    3.21
1991 09 07    2.94
1991 09 08    3.43
1991 09 09    3.09
1991 09 10    0.49
1991 09 11    2.34
1991 09 12    3.03
1991 09 13    1.83
1991 09 14    2.22
1991 09 15    1.96
1991 09 16    1.05
1991 09 17    2.19
1991 09 18    1.44
1991 09 19    2.77
1991 09 20    1.75
1991 09 21    0.80
1991 09 22    2.28
1991 09 23    3.03
1991 09 24    2.38
1991 09 25    1.25
1991 09 26    1.96
1991 09 27    1.54
1991 09 28    2.11
1991 09 29    2.30
1991 09 30    1.46
1991 10 01    2.21
1991 10 02    2.44
1991 10 03    1.53
1991 10 04    1.90
1991 10 05    1.43
1991 10 06    1.31
1991 10 07    0.92
1991 10 08    0.85
1991 10 09    1.27
1991 10 10    0.99
1991 10 11    0.86
1991 10 12    1.04
1991 10 13    0.82
1991 10 14    0.73
1991 10 15    0.31
1991 10 16    0.99
1991 10 17    1.04
1991 10 18    0.78
1991 10 19    1.06
1991 10 20    1.10
1991 10 21    0.85
1991 10 22    0.76
1991 10 23    0.75
1991 10 24    0.72
1991 10 25    1.12
1991 10 26    0.65
1991 10 27    0.85
1991 10 28    0.31
1991 10 29    0.46
1991 10 30    0.69
1991 10 31    0.72
1991 11 01    0.55
1991 11 02    0.54
1991 11 03    0.40
1991 11 04    0.56
1991 11 05    0.53
1991 11 06    0.50
1991 11 07    0.48
1991 11 08    0.37
1991 11 09    0.52
1991 11 10    0.49
1991 11 11    0.28
1991 11 12    0.33
1991 11 13    0.38
1991 11 14    0.36
1991 11 15    0.34
1991 11 16    0.34
1991 11 17    0.33
1991 11 18    0.36
1991 11 19    0.19
1991 11 20    0.24
1991 11 21    0.17
1991 11 22    0.25
1991 11 23    0.35
1991 11 24    0.24
1991 11 25    0.20
1991 11 26    0.14
1991 11 27    0.21
1991 11 28    0.16
1991 11 29    0.15
1991 11 30    0.16
1991 12 01    0.12
1991 12 02    0.11
1991 12 03    0.13
1991 12 04    0.14
1991 12 05    0.13
1991 12 06    0.11
1991 12 07    0.13
1991 12 08    0.11
1991 12 09    0.11
1991 12 10    0.12
1991 12 11    0.11
1991 12 12    0.09
1991 12 13    0.09
1991 12 14    0.10
1991 12 15    0.09
1991 12 16    0.10
1991 12 17    0.07
1991 12 18    0.07
1991 12 19    0.11
1991 12 20    0.08
1991 12 21    0.08
1991 12 22    0.09
1991 12 23    0.09
1991 12 24    0.09
1991 12 25    0.11
1991 12 26    0.12
1991 12 27    0.10
1991 12 28    0.10
1991 12 29    0.09
1991 12 30    0.08
1991 12 31    0.13
1992 01 01    0.09
1992 01 02    0.15
1992 01 03    0.14
1992 01 04    0.11
1992 01 05    0.12
1992 01 06    0.11
1992 01 07    0.10
1992 01 08    0.12
1992 01 09    0.11
1992 01 10    0.11
1992 01 11    0.15
1992 01 12    0.15
1992 01 13    0.15
1992 01 14    0.17
1992 01 15    0.18
1992 01 16    0.18
1992 01 17    0.24
1992 01 18    0.18
1992 01 19    0.21
1992 01 20    0.23
1992 01 21    0.20
1992 01 22    0.22
1992 01 23    0.22
1992 01 24    0.30
1992 01 25    0.24
1992 01 26    0.27
1992 01 27    0.29
1992 01 28    0.34
1992 01 29    0.31
1992 01 30    0.32
1992 01 31    0.39
1992 02 01    0.45
1992 02 02    0.58
1992 02 03    0.48
1992 02 04    0.47
1992 02 05    0.46
1992 02 06    0.47
1992 02 07    0.52
1992 02 08    0.61
1992 02 09    0.39
1992 02 10    0.58
1992 02 11    0.60
1992 02 12    0.68
1992 02 13    0.22
1992 02 14    0.18
1992 02 15    0.19
1992 02 16    0.38
1992 02 17    0.33
1992 02 18    0.85
1992 02 19    1.03
1992 02 20    0.53
1992 02 21    0.55
1992 02 22    0.70
1992 02 23    1.05
1992 02 24    0.98
1992 02 25    1.76
1992 02 26    1.94
1992 02 27    1.52
1992 02 28    1.10
1992 02 29    0.52
